label,sentence
3,タイトル: グッド・ウィル・ハンティング。概要: 天才的な数学の才能を持つ青年が心を開いていく感動の物語。
4,タイトル: エスター。概要: 養子として迎えられた少女に秘められた恐ろしい秘密を描くホラーサスペンス。
3,タイトル: リメンバー・ミー。概要: 音楽を禁じられた少年が死者の国に迷い込み、家族の愛を再発見するピクサー作品。
3,タイトル: イエスマン。概要: 否定ばかりの男がすべてに「YES」と答えるようになり人生が一変するコメディ。
5,タイトル: ターミネーター2。概要: 殺人マシンT-800が人類の希望を守るため少年を救うSFアクション。
5,タイトル: ゴーストバスターズ。概要: 幽霊退治のプロチームがニューヨークの平和を守るおばけコメディ。
3,タイトル: 僕のワンダフル・ライフ。概要: 何度も生まれ変わる犬が飼い主と再会を果たす心温まる動物ドラマ。
3,タイトル: シンドラーのリスト。概要: ナチス占領下のポーランドで、多くのユダヤ人を救った実業家の実話を描く感動のドラマ。
3,タイトル: ドリーム。概要: NASAを支えた黒人女性数学者たちの奮闘と友情を描いた実話ベースの感動作。
4,タイトル: ミスト。概要: 怪物が潜む霧に包まれたスーパーマーケットでの極限状況と人間ドラマ。
3,タイトル: 風立ちぬ。概要: 零戦の設計者・堀越二郎の人生と愛を描いた宮崎駿監督のドラマティックアニメ。
4,タイトル: トランスフォーマー。概要: 地球に飛来した変形ロボットたちが人類と共に戦うアクションSF。
3,タイトル: ココ。概要: 亡き家族とのつながりをテーマに、死者の国を旅する少年の冒険と音楽の物語。
4,タイトル: ボヘミアン・ラプソディ。概要: クイーンのボーカル、フレディ・マーキュリーの波乱に満ちた人生を描く音楽映画。
4,タイトル: アナコンダ。概要: アマゾンの奥地で巨大蛇アナコンダに襲われるドキドキのサバイバルスリラー。
3,タイトル: 火垂るの墓。概要: 第二次世界大戦中の日本、兄妹の過酷な日常を描く戦争アニメ。
2,タイトル: ピッチ・パーフェクト。概要: アカペラ女子グループが大学大会で奮闘する音楽青春コメディ。
3,タイトル: キングスマン。概要: スーツ姿のスパイが世界を救う痛快アクションとスタイリッシュな戦闘。
2,タイトル: 君に読む物語。概要: 認知症の妻に夫が若き日のラブストーリーを読み聞かせる感動作。
2,タイトル: サマーウォーズ。概要: 仮想空間で起きた危機に家族の絆で立ち向かうアニメ映画。
4,タイトル: ラ・ラ・ランド。概要: 夢を追う男女が出会い、支え合いながらもすれ違うミュージカル映画。
4,タイトル: デビル。概要: エレベーターに閉じ込められた5人の中に悪魔が潜んでいるというサスペンススリラー。
3,タイトル: リトル・ミス・サンシャイン。概要: 家族が一丸となって少女のミスコン出場を目指す心温まるロードムービー。
3,タイトル: シェフ 三ツ星フードトラック始めました。概要: 有名シェフがフードトラックで人生を再出発するグルメ映画。
2,タイトル: インサイド・ヘッド。概要: 少女の頭の中で感情たちが奮闘する、ピクサーの感動ファンタジー。
3,タイトル: 猫の恩返し。概要: 猫の国に連れていかれた少女の冒険と成長を描くスタジオジブリ作品。
4,タイトル: ナイト・ミュージアム。概要: 博物館の展示物が夜になると動き出すファンタジーコメディ。
4,タイトル: カオス・ウォーキング。概要: 人間の思考が全て音として可視化される世界でのサバイバルと成長。
5,タイトル: シックス・センス。概要: 幽霊が見える少年と精神科医の出会いが導く衝撃の結末。
4,タイトル: もののけ姫。概要: 自然と人間の対立の中で葛藤する青年と森の姫を描いた壮大なアニメ。
3,タイトル: ザ・ビーチ。概要: 秘境の楽園を探す若者が直面する理想と現実のギャップを描くサスペンス。
2,タイトル: おおかみこどもの雨と雪。概要: 狼男との間に生まれた子どもたちと母親の愛と成長を描くアニメ。
3,タイトル: ペンギン・ハイウェイ。概要: 夏休み、小学生が街に現れたペンギンの謎を追う青春SFファンタジー。
3,タイトル: いま、会いにゆきます。概要: 死んだ妻が雨の季節に戻ってくる不思議で切ないラブストーリー。
3,タイトル: ヒットマンズ・ボディガード。概要: 殺し屋を護衛するエリートボディガードのドタバタアクションコメディ。
3,タイトル: フォレスト・ガンプ 一期一会。概要: 純粋な心を持つ男フォレストが、数奇な人生を駆け抜ける感動のヒューマンドラマ。
3,タイトル: アベンジャーズ／エイジ・オブ・ウルトロン。概要: 人工知能が暴走し、アベンジャーズが再び団結して地球を救うSFアクション。
